,data,numArticles,neutral,positive,negative
821,2016-04-21,1,0.7822093,0.2095637,0.008226977
822,2016-04-22,2,0.046234176,0.03940945,0.91435635
823,2016-04-12,2,0.82524765,0.13388988,0.04086247
824,2016-04-09,1,0.88583577,0.08002611,0.03413814
825,2016-04-04,2,0.75408506,0.17461033,0.07130457
826,2016-04-05,1,0.15733775,0.06554463,0.7771177
827,2016-04-07,4,0.60857034,0.04899297,0.34243667
828,2016-03-29,2,0.5599959,0.3876642,0.052339923
829,2016-04-01,3,0.06081323,0.058145937,0.8810408
830,2016-04-03,1,0.7691446,0.16131628,0.06953911
831,2016-03-17,2,0.46052116,0.13218704,0.40729183
832,2016-03-22,1,0.10794413,0.020264,0.8717918
833,2016-03-23,3,0.30617407,0.03079924,0.6630267
834,2016-03-24,1,0.84130734,0.052815113,0.105877586
835,2016-03-11,3,0.62019986,0.33967853,0.04012156
836,2016-03-16,3,0.34041134,0.17558068,0.48400798
837,2016-02-23,1,0.020376116,0.048765823,0.9308581
838,2016-02-29,1,0.07349817,0.7486007,0.17790107
839,2016-03-03,3,0.08742494,0.57441,0.33816504
840,2016-03-07,1,0.7745921,0.21527134,0.01013657
841,2016-03-09,2,0.66705227,0.31047502,0.022472661
842,2016-02-16,1,0.34667185,0.24842656,0.40490156
843,2016-02-17,1,0.44885254,0.14159474,0.40955266
844,2016-02-19,1,0.03712851,0.16458213,0.79828936
845,2016-02-06,1,0.13769849,0.028331006,0.83397055
846,2016-01-21,1,0.877006,0.062189717,0.060804315
847,2016-01-22,1,0.032550126,0.02292258,0.9445272
848,2016-01-15,2,0.07124367,0.18676355,0.7419927
849,2016-01-16,1,0.042091247,0.17703755,0.7808712
850,2016-01-05,2,0.7729989,0.05486883,0.17213225
851,2016-01-07,2,0.07891491,0.42443553,0.4966496
852,2016-01-11,1,0.91991246,0.034791756,0.04529582
853,2015-12-17,3,0.61943316,0.052133407,0.32843336
854,2015-12-18,1,0.059005737,0.038555566,0.9024387
855,2015-12-28,2,0.15549934,0.8312162,0.013284484
856,2015-12-10,2,0.7819345,0.19474407,0.023321442
857,2015-12-14,3,0.059271265,0.75335723,0.18737143
858,2015-12-16,4,0.10791001,0.34720665,0.5448833
859,2015-12-01,3,0.6235795,0.2464596,0.12996085
860,2015-12-03,3,0.31163976,0.046981443,0.6413788
861,2015-12-05,1,0.69939816,0.035812493,0.26478934
862,2015-12-07,1,0.09214937,0.03628486,0.87156576
863,2015-12-09,2,0.3679262,0.350979,0.2810948
864,2015-11-20,2,0.4417129,0.06367441,0.49461272
865,2015-11-24,1,0.79910463,0.18905613,0.011839241
866,2015-11-25,1,0.10591803,0.029805474,0.86427647
867,2015-11-26,2,0.10742958,0.021794047,0.8707764
868,2015-11-06,1,0.7237753,0.26646647,0.009758176
869,2015-11-07,1,0.04016387,0.028220616,0.93161553
870,2015-11-09,1,0.891729,0.083332166,0.024938837
871,2015-11-16,1,0.024161797,0.006707125,0.969131
872,2015-10-22,1,0.02389148,0.007990759,0.9681178
873,2015-10-30,2,0.25772455,0.27244115,0.46983427
874,2015-11-03,2,0.8985859,0.06471954,0.036694475
875,2015-11-04,1,0.9394542,0.041473586,0.019072287
876,2015-10-13,4,0.12142882,0.03679336,0.8417778
877,2015-10-09,2,0.19914418,0.52164483,0.279211
878,2015-09-29,2,0.43446288,0.08066946,0.48486766
879,2015-10-01,1,0.32920375,0.022629792,0.6481665
880,2015-10-03,1,0.0608956,0.022685627,0.9164188
881,2015-10-06,1,0.8845762,0.10605817,0.009365574
882,2015-10-08,2,0.36751944,0.121193856,0.5112867
883,2015-09-20,1,0.079878554,0.018870194,0.90125126
884,2015-09-23,1,0.11438574,0.13339168,0.7522226
885,2015-09-08,1,0.92123646,0.062141456,0.016622066
886,2015-09-09,1,0.28291228,0.3414876,0.37560013
887,2015-09-10,1,0.17453481,0.81692725,0.008537842
888,2015-09-13,1,0.9061465,0.08204447,0.011808993
889,2015-09-16,2,0.47438458,0.057398252,0.4682172
890,2015-09-17,1,0.66148067,0.32958823,0.008931062
891,2015-08-24,2,0.14774308,0.10988415,0.74237275
892,2015-08-26,1,0.70622146,0.02285306,0.27092546
893,2015-08-27,1,0.02491476,0.22915651,0.74592876
894,2015-09-01,2,0.47038484,0.03597799,0.49363717
895,2015-09-03,1,0.14106612,0.038413804,0.8205201
896,2015-09-04,1,0.06716462,0.36119875,0.5716367
897,2015-09-07,1,0.77539,0.21683912,0.0077708596
898,2015-07-28,3,0.61872524,0.069601975,0.3116728
899,2015-07-29,1,0.070402786,0.89494324,0.03465402
900,2015-07-31,1,0.91220915,0.03674104,0.051049802
901,2015-08-04,1,0.06457841,0.32180953,0.6136121
902,2015-08-06,1,0.03958595,0.94642437,0.013989605
903,2015-08-12,1,0.109338805,0.12576795,0.76489323
904,2015-08-13,1,0.058850057,0.60819566,0.3329543
905,2015-08-19,2,0.036093064,0.015990105,0.94791687
906,2015-08-21,1,0.110273555,0.7153143,0.17441206
907,2015-07-23,3,0.17651643,0.020848677,0.8026349
908,2015-07-24,1,0.92057234,0.045315225,0.034112368
909,2015-07-21,2,0.5885305,0.11757298,0.29389656
910,2016-10-04,1,0.8964993,0.027026441,0.07647427
911,2015-10-20,1,0.8941081,0.08632088,0.019571066
912,2015-07-03,1,0.1447967,0.022563905,0.8326394
913,2015-07-06,1,0.83129257,0.05340745,0.115300015
914,2015-07-09,1,0.031837396,0.0206947,0.9474679
915,2015-07-10,1,0.12753196,0.37612435,0.4963436
916,2015-07-11,1,0.52194864,0.21675208,0.26129922
917,2015-07-13,1,0.21122696,0.04078888,0.7479842
918,2015-06-04,2,0.4019977,0.122345544,0.47565678
919,2015-06-17,1,0.6421668,0.19395967,0.16387352
920,2015-06-22,1,0.76747733,0.2182864,0.014236275
921,2015-06-25,1,0.04439312,0.008994055,0.9466128
922,2015-06-29,1,0.065888055,0.7580648,0.17604712
923,2015-06-30,1,0.025226155,0.0137339225,0.9610399
924,2015-05-29,1,0.18338913,0.0506752,0.76593566
925,2015-06-02,1,0.27162924,0.04673753,0.68163323
926,2015-06-03,1,0.15752624,0.024598598,0.8178751
927,2015-05-15,3,0.5847847,0.23208416,0.18313114
