UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ExcuseMyKharisma,@HerKharisma,2010-01-02T22:49:33.000Z,"ExcuseMyKharisma
@HerKharisma
·
2010年1月3日","回复 
@JLo4rmCali
@JLo4rmCali
 no i dropped it last night (dont judge my #BAC...i was niiiccee last night) lol",🏁,,,,[],https://twitter.com/HerKharisma/status/7312323824
Emily,@emjaune,2010-01-03T18:37:30.000Z,"Emily
@emjaune
·
2010年1月4日",Unity != uniformity #BAC,,,,,[],https://twitter.com/emjaune/status/7339000798
Emily,@emjaune,2010-01-03T18:16:24.000Z,"Emily
@emjaune
·
2010年1月4日","@jozefrong:  Vancouver loves their Canucks -  #BAC illustration this morning: ""the church of the Canucks""",,,,,[],https://twitter.com/emjaune/status/7338467409
Lauren L. Owen,@TheLOShow29,2010-01-04T02:32:02.000Z,"Lauren L. Owen
@TheLOShow29
·
2010年1月4日","回复 
@Eazy_Bake
@Eazy_Bake
 I don't know what #BAC is :-(. I probably don't want to.",,,,,[],https://twitter.com/TheLOShow29/status/7352435678
stockNALYSIS.com,@stocknalysis,2010-01-05T12:04:02.000Z,"stockNALYSIS.com
@stocknalysis
·
2010年1月5日",what rock did you crawl out from under? now is a good time for a buy on #BAC,,,,,[],https://twitter.com/stocknalysis/status/7401310971
Bacon,@Baconfeed,2010-01-06T20:55:12.000Z,"Bacon
@Baconfeed
·
2010年1月7日","LOVE it! #imabit I can roll with it. RT 
@jackiehallet
: 
@achromatica
 You're 
@ZoomJer
 's grasshoppper? And he's #bac... http://bit.ly/73tR7J",,,,,[],https://twitter.com/Baconfeed/status/7453368394
stockNALYSIS.com,@stocknalysis,2010-01-07T22:14:47.000Z,"stockNALYSIS.com
@stocknalysis
·
2010年1月8日","seemingly, the market is in favor of buying #BAC",,,,,[],https://twitter.com/stocknalysis/status/7494202729
stockNALYSIS.com,@stocknalysis,2010-01-07T21:08:07.000Z,"stockNALYSIS.com
@stocknalysis
·
2010年1月8日",greed abounds on the stock market today...check out #BAC,,,,,[],https://twitter.com/stocknalysis/status/7492194205
Bacon,@Baconfeed,2010-01-07T04:33:21.000Z,"Bacon
@Baconfeed
·
2010年1月7日","RT 
@RedScareBot
 It's your dime RT 
@DanDraney
 @mlwebb
 Communist illuminati Bacon - Should be a triple play. :) #bac... http://bit.ly/5jajUy",,,,,[],https://twitter.com/Baconfeed/status/7467253234
Ciprian Gherghescu,@newshealthcare,2010-01-08T06:00:46.000Z,"Ciprian Gherghescu
@newshealthcare
·
2010年1月8日",V@g38: What’s a Bailed-Out Banker Really Worth? - NYTimes.com - #AIG #Citigroup #BAC #TARP,,,,,[],https://twitter.com/newshealthcare/status/7509062727
JeffHo,@jeffho111,2010-01-08T05:14:57.000Z,"JeffHo
@jeffho111
·
2010年1月8日",Jeff's Tfeeds - You: What’s a Bailed-Out Banker Really Worth? - NYTimes.com - #AIG #Citigroup #BAC #TARP:  http://bit.ly/8GzqvW,,,,,[],https://twitter.com/jeffho111/status/7507850036
Bacon,@Baconfeed,2010-01-08T01:59:05.000Z,"Bacon
@Baconfeed
·
2010年1月8日","I have a new favorite website RT 
@dlayphoto
: Hahahaha! RT 
@slakingfool
: 
@dlayphoto
 http://baconorbeercan.com/ #bac... http://bit.ly/6aljYm",,,,,[],https://twitter.com/Baconfeed/status/7501289948
One News Page,@One_News_Page,2010-01-09T07:44:53.000Z,"One News Page
@One_News_Page
·
2010年1月9日","Minus 'Melo, Nuggets still turn back James, Cavs http://bit.ly/7juMLv #Bac #Sports #News",,,,,[],https://twitter.com/One_News_Page/status/7550708559
One News Page,@One_News_Page,2010-01-09T07:44:53.000Z,"One News Page
@One_News_Page
·
2010年1月9日",Latest #News headlines on Bac http://bit.ly/58j0T3 #Bac #Sports,,,,,[],https://twitter.com/One_News_Page/status/7550708363
NFO Serien,@nfo_serien,2010-01-10T20:12:11.000Z,"NFO Serien
@nfo_serien
·
2010年1月11日",My.Name.Is.Earl.S04E08.Little.Bad.Voodoo.Brother.German.Custom.Subbed.WS.HDTV.XviD.iNTERNAL-BaCKToRG #Serie #BaC… http://tinyurl.com/yz9cb6d,,,,,[],https://twitter.com/nfo_serien/status/7603084289
Lee Ann Miller,@mrsleeannmiller,2010-01-10T15:33:17.000Z,"Lee Ann Miller
@mrsleeannmiller
·
2010年1月10日","Continually keep a cold, 1st stage, piece of bacon in the frying pan. Keeps drippings a nice frying temp. #bac http://tweetphoto.com/8445868",,,,,[],https://twitter.com/mrsleeannmiller/status/7595504459
Donald van Deventer,@dvandeventer,2010-01-12T18:33:09.000Z,"Donald van Deventer
@dvandeventer
·
2010年1月13日",Biggest winners of the #credit crisis-#BAC #lawyers: http://www.reuters.com/article/idUSTRE60B4IG20100112 #riskmanagement #MerrillLynch,,,,,[],https://twitter.com/dvandeventer/status/7677981099
Bob Greenfest,@BobGreenfest,2010-01-13T23:00:06.000Z,"Bob Greenfest
@BobGreenfest
·
2010年1月14日",BofA's Secret of Success: Real Estate  - http://ow.ly/WaOv  #BAC #REIT,,,,,[],https://twitter.com/BobGreenfest/status/7725489977
Bacon,@Baconfeed,2010-01-13T14:03:01.000Z,"Bacon
@Baconfeed
·
2010年1月13日","Thanks, had my milk & granola. 2nd cup of tea. Little sleep. RT 
@billrowekamp
: 
@mpaynknoper
 2 eggs & slice of #bac... http://bit.ly/4UBqmU",,,,,[],https://twitter.com/Baconfeed/status/7708835971
Bob Greenfest,@BobGreenfest,2010-01-13T13:03:33.000Z,"Bob Greenfest
@BobGreenfest
·
2010年1月13日",SEC brings new charges against Bank of America - http://ow.ly/VZ45  #BAC #SEC #SantosPostal,,,,,[],https://twitter.com/BobGreenfest/status/7707176546
Michelle Walker,@michelleyascapi,2010-01-13T00:50:12.000Z,"Michelle Walker
@michelleyascapi
·
2010年1月13日",Trilogy more often than not affirming and empowering. At times very poignant and energetic. A delightful thought-provoking experience. #BAC,🕷,,,,[],https://twitter.com/michelleyascapi/status/7690171340
Bob Greenfest,@BobGreenfest,2010-01-14T18:05:23.000Z,"Bob Greenfest
@BobGreenfest
·
2010年1月15日","""It has been clear how poor business judgments we have made have affected Main Street.""
--Brian Moynihan, Bank of America CEO. #BAC #DUH?",,,,,[],https://twitter.com/BobGreenfest/status/7756052180
Mr . Egotistic,@BENJoedy,2010-01-14T14:02:50.000Z,"Mr . Egotistic
@BENJoedy
·
2010年1月14日","@AllBetsONDECK
 imma just go w| yuh . lemme round #OnDeck && #BAC .",,,,,[],https://twitter.com/BENJoedy/status/7748487146
GRACE,@cancerGRACE,2010-01-15T16:28:42.000Z,"GRACE
@cancerGRACE
·
2010年1月16日","Join our Brochioloalveolar Carcinoma (#BAC) group hosted on 
@NavCancer
. http://beta.navigatingcancer.com/groups/26",,,,,[],https://twitter.com/cancerGRACE/status/7793055366
giolchairithe,@giolchairithe,2010-01-15T10:01:16.000Z,"giolchairithe
@giolchairithe
·
2010年1月15日","RT http://twitpic.com/y5v6h - Club Chonradh na Gaeilge sign, Harcourt St, Dublin. #gaeilge #BAC: http://twitpic.co... http://bit.ly/6IvY4b",,,,,[],https://twitter.com/giolchairithe/status/7782794655
⌜will dearman⌟ data|human,@wtd,2010-01-15T01:40:12.000Z,"⌜will dearman⌟ data|human
@wtd
·
2010年1月15日","For my career's sake, I hope 
@moorehn
 is wrong about #BAC's Moynihan http://bit.ly/5b9sm7",,,,,[],https://twitter.com/wtd/status/7770163925
Dave and Marc,@BrownbookUpdate,2010-01-16T19:01:16.000Z,"Dave and Marc
@BrownbookUpdate
·
2010年1月17日","Pick and Mix Studios was just updated by jon4400 - http://bit.ly/6Tasma - #recording #studio #bournemouth #dorset #mixing #mastering #bac...
1",,,1,,[],https://twitter.com/BrownbookUpdate/status/7835494526
TJBodyRocks,@TJBodyRocks,2010-01-17T16:20:40.000Z,"TJBodyRocks
@TJBodyRocks
·
2010年1月18日",Male Body Hair Removal: #Bac sac & crack! Http://www.tjbodyrocks.co.uk  #Male Waxing,,,,,[],https://twitter.com/TJBodyRocks/status/7868206855
Emma Robert,@emmarobert77,2010-01-19T11:04:25.000Z,"Emma Robert
@emmarobert77
·
2010年1月19日",Drunk Driving Laws in California http://twittley.com/r/gsgn6p4layae #BAC #DrivingUndertheInfluence #DUI,,,,,[],https://twitter.com/emmarobert77/status/7941621095
One News Page,@One_News_Page,2010-01-20T15:29:06.000Z,"One News Page
@One_News_Page
·
2010年1月20日",Jones indicates Phillips back in 2010 http://bit.ly/6sVb33 #Bac #Sports #News,,,,,[],https://twitter.com/One_News_Page/status/7989103980
One News Page,@One_News_Page,2010-01-20T15:29:05.000Z,"One News Page
@One_News_Page
·
2010年1月20日",Latest #News headlines on Bac http://bit.ly/58j0T3 #Bac #Sports,,,,,[],https://twitter.com/One_News_Page/status/7989103258
Bacon,@Baconfeed,2010-01-21T20:00:06.000Z,"Bacon
@Baconfeed
·
2010年1月22日","Exactly what it sounds like! Absolutely delicious RT 
@tgnh
: 
@iTweetMeat
 Please share! RE:  #Chocolate-covered #bac... http://bit.ly/5YhAFl",,,,,[],https://twitter.com/Baconfeed/status/8039456239
Bacon,@Baconfeed,2010-01-22T13:00:31.000Z,"Bacon
@Baconfeed
·
2010年1月22日","Sprechen Sie bacon? RT 
@Minervity
 
For the Love of Bacon | Wild and Wacky Bacon Photos - http://bit.ly/5YBSzK #bac... http://bit.ly/7Ggklq",,,,,[],https://twitter.com/Baconfeed/status/8068255104
