date,positive,negative,neutral
2010-01-02,0.026583808,0.67494524,0.298471
2010-01-03,0.15417407,0.054854857,1.7909711700000002
2010-01-04,0.038052775,0.09245713,0.8694901
2010-01-05,0.06845371,0.029205278,0.902341
2010-01-07,0.69035356,0.155495576,1.1541509300000001
2010-01-08,0.114990646,0.085136708,1.79987264
2010-01-12,0.19322687,0.031143991,0.7756291
2010-01-13,0.232365961,0.8818978310000001,1.88573609
2010-01-14,0.06420856,0.953575218,0.9822161899999999
2010-01-15,0.19652409999999998,0.566438855,2.2370369500000002
2010-01-19,0.028298914,0.28017083,0.6915303
2010-01-25,0.194236,0.028139865,0.77762413
2010-01-27,4.382449296000001,0.22305533199999997,7.394494880000001
2010-01-28,0.7582397,0.0145424865,0.22721785
2010-02-01,0.0653126,0.3843794,0.5503081
2010-02-02,0.19473579,0.26674976,1.53851447
2010-02-10,0.09797243,0.52702016,0.37500742
2010-02-11,0.034832988,0.0566822,0.9084848
2010-02-13,0.469811,0.028599767,1.5015892499999999
2010-02-14,0.06821379,0.019175041,0.9126112
2010-02-17,0.08302956,0.073557585,0.8434129
2010-02-19,0.039140265,0.11521708,0.8456427
2010-02-20,0.145383324,0.050700857,1.8039159
2010-02-23,0.044272628,0.15622412,0.79950327
2010-02-25,0.019958986,0.10056643,0.8794746
2010-02-27,0.116590228,0.28356845399999997,1.5998413500000002
2010-03-01,0.9466972,3.2167748,5.8365279999999995
2010-03-02,0.021577377,0.069416285,0.90900636
2010-03-07,0.08763721,0.013560736,0.8988021
2010-03-08,0.7833417500000001,0.20559816000000003,9.0110594
2010-03-10,0.24859788900000002,0.33647895499999997,1.41492307
2010-03-12,0.056353275,0.048421305,0.89522547
2010-03-15,2.52045416,0.274326851,10.20521882
2010-03-16,0.5427841,0.018434789,0.4387811
2010-03-18,0.031076087,0.06306361,0.9058603
2010-03-19,0.17954444,0.60175606,2.21869952
2010-03-23,1.36524156,0.072730248,0.5620281500000001
2010-03-24,0.7765617450000001,0.049395207000000003,2.17404302
2010-03-29,0.041191988,0.031117424,0.9276906
2010-03-30,0.053479165,0.022448428,0.9240724
2010-04-02,0.24576153199999998,0.33524544500000003,4.41899296
2010-04-03,0.052333422,0.03638099,0.9112856
2010-04-06,0.08745668,0.20360968,0.7089336
2010-04-07,0.04721519,0.07652875,0.8762561
2010-04-08,0.22561557,0.28570439999999997,1.48868014
2010-04-09,0.7728157800000001,0.38508285999999997,9.842101600000001
2010-04-10,0.20580724,0.01607911,0.7781136
2010-04-11,0.04721519,0.07652875,0.8762561
2010-04-12,0.14302683,0.021461917,0.8355112
2010-04-13,0.1058782,0.10058262,0.79353917
2010-04-14,0.034765545,0.75904596,0.20618844
2010-04-15,0.477571702,0.792418756,11.730009039999999
2010-04-16,1.703726395,0.9051685789999999,2.39110495
2010-04-18,0.085886567,0.7238992280000001,1.19021416
2010-04-19,0.315559685,0.09319441,2.59124596
2010-04-20,0.077877994,0.72741932,1.1947026299999999
2010-04-21,0.1744291,0.0774152235,1.74815571
2010-04-22,0.092752262,0.74229438,1.1649533
2010-04-23,0.138088974,1.49392587,1.36798514
2010-04-24,0.030293822,0.029446479,0.94025975
2010-04-26,0.675901771,0.279374996,9.0447232
2010-04-27,0.76518002,1.065369065,5.16945107
2010-04-28,0.05611512,0.038644396,0.9052405
2010-04-29,0.096630768,0.757143978,1.14622527
2010-04-30,0.17331734099999999,0.378045499,3.44863719
2010-05-01,0.0112255085,0.9608891,0.027885439
2010-05-02,0.040269904,0.08755995,0.8721701
2010-05-03,0.042586423,0.037601568,0.91981196
2010-05-04,0.13447367,0.06263696,1.80288926
2010-05-05,0.198666138,0.254179267,1.5471546
2010-05-06,0.059120306,0.9389554499999999,1.0019241700000001
2010-05-07,0.223431893,0.07321018,1.7033578600000001
2010-05-09,0.042586423,0.037601568,0.91981196
2010-05-10,0.013915487,0.824428,0.16165648
2010-05-11,0.160854243,0.12892097000000002,2.71022498
2010-05-14,0.07315109,0.019268155,0.90758073
2010-05-18,0.298493705,0.290209019,2.41129725
2010-05-19,0.10477403,0.019648362,0.8755776
2010-05-20,0.84917617,0.00753035,0.1432935
